nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
1,-485.000 ,-250.000 ,1.600 ,1.476 
2,-475.000 ,-250.000 ,1.600 ,1.473 
3,-465.000 ,-250.000 ,1.600 ,1.474 
4,-455.000 ,-250.000 ,1.600 ,1.480 
5,-445.000 ,-250.000 ,1.600 ,1.479 
6,-435.000 ,-250.000 ,1.600 ,1.479 
7,-425.000 ,-250.000 ,1.600 ,1.481 
8,-415.000 ,-250.000 ,1.600 ,1.482 
9,-405.000 ,-250.000 ,1.600 ,1.485 
10,-395.000 ,-250.000 ,1.600 ,1.493 
11,-385.000 ,-250.000 ,1.600 ,1.495 
12,-375.000 ,-250.000 ,1.600 ,1.490 
13,-365.000 ,-250.000 ,1.600 ,1.491 
14,-355.000 ,-250.000 ,1.600 ,1.494 
15,-345.000 ,-250.000 ,1.600 ,1.493 
16,-335.000 ,-250.000 ,1.600 ,1.493 
17,-325.000 ,-250.000 ,1.600 ,1.495 
18,-315.000 ,-250.000 ,1.600 ,1.503 
19,-305.000 ,-250.000 ,1.600 ,1.510 
20,-295.000 ,-250.000 ,1.600 ,1.507 
21,-285.000 ,-250.000 ,1.600 ,1.511 
22,-275.000 ,-250.000 ,1.600 ,1.517 
23,-265.000 ,-250.000 ,1.600 ,1.526 
24,-235.000 ,-250.000 ,1.600 ,1.523 
25,-195.000 ,-250.000 ,1.600 ,1.540 
26,-165.000 ,-250.000 ,1.600 ,1.545 
27,25.000 ,-250.000 ,1.600 ,1.588 
28,125.000 ,-250.000 ,1.600 ,1.533 
29,-155.000 ,-250.000 ,1.600 ,1.553 
30,-75.000 ,-250.000 ,1.600 ,1.584 
31,-45.000 ,-250.000 ,1.600 ,1.590 
32,135.000 ,-250.000 ,1.600 ,1.519 
33,155.000 ,-250.000 ,1.600 ,1.502 
34,-449.763 ,-243.801 ,1.600 ,1.468 
35,-219.539 ,-243.088 ,1.600 ,1.516 
36,229.174 ,-242.957 ,1.600 ,1.481 
37,-475.665 ,-242.066 ,1.600 ,1.467 
38,-457.858 ,-241.480 ,1.600 ,1.470 
39,-442.483 ,-240.987 ,1.600 ,1.469 
40,-149.519 ,-240.826 ,1.600 ,1.547 
41,-270.457 ,-240.756 ,1.600 ,1.498 
42,-69.198 ,-240.731 ,1.600 ,1.575 
43,79.647 ,-240.569 ,1.600 ,1.561 
44,-332.216 ,-240.537 ,1.600 ,1.480 
45,-159.506 ,-240.274 ,1.600 ,1.542 
46,-168.906 ,-240.263 ,1.600 ,1.536 
47,-348.549 ,-240.177 ,1.600 ,1.484 
