x,y,z
-4.217837,-4.418759,1.6
-4.217837,-3.898071,1.6
-4.217837,-3.377382,1.6
-4.217837,-2.856694,1.6
-4.217837,-2.336005,1.6
-4.217837,-1.815317,1.6
-4.217837,-1.294628,1.6
-4.217837,-0.77394,1.6
-4.217837,-0.253251,1.6
-4.217837,0.267437,1.6
-4.217837,0.788126,1.6
-4.217837,1.308814,1.6
-4.217837,1.829503,1.6
-4.217837,2.350191,1.6
-4.217837,2.87088,1.6
-4.217837,3.391568,1.6
-4.217837,3.912257,1.6
-4.217837,4.432945,1.6
-3.715631,-4.418759,1.6
-3.715631,-3.898071,1.6
-3.715631,-3.377382,1.6
-3.715631,-2.856694,1.6
-3.715631,-2.336005,1.6
-3.715631,-1.815317,1.6
-3.715631,-1.294628,1.6
-3.715631,-0.77394,1.6
-3.715631,-0.253251,1.6
-3.715631,0.267437,1.6
-3.715631,0.788126,1.6
-3.715631,1.308814,1.6
-3.715631,1.829503,1.6
-3.715631,2.350191,1.6
-3.715631,2.87088,1.6
-3.715631,3.391568,1.6
-3.715631,3.912257,1.6
-3.715631,4.432945,1.6
-3.213424,-4.418759,1.6
-3.213424,-3.898071,1.6
-3.213424,-3.377382,1.6
-3.213424,-2.856694,1.6
-3.213424,-2.336005,1.6
-3.213424,-1.815317,1.6
-3.213424,-1.294628,1.6
-3.213424,-0.77394,1.6
-3.213424,-0.253251,1.6
-3.213424,0.267437,1.6
-3.213424,0.788126,1.6
-3.213424,1.308814,1.6
-3.213424,1.829503,1.6
-3.213424,2.350191,1.6
-3.213424,2.87088,1.6
-3.213424,3.391568,1.6
-3.213424,3.912257,1.6
-3.213424,4.432945,1.6
-2.711217,-4.418759,1.6
-2.711217,-3.898071,1.6
-2.711217,-3.377382,1.6
-2.711217,-2.856694,1.6
-2.711217,-2.336005,1.6
-2.711217,-1.815317,1.6
-2.711217,-1.294628,1.6
-2.711217,-0.77394,1.6
-2.711217,-0.253251,1.6
-2.711217,0.267437,1.6
-2.711217,0.788126,1.6
-2.711217,1.308814,1.6
-2.711217,1.829503,1.6
-2.711217,2.350191,1.6
-2.711217,2.87088,1.6
-2.711217,3.391568,1.6
-2.711217,3.912257,1.6
-2.711217,4.432945,1.6
-2.20901,-4.418759,1.6
-2.20901,-3.898071,1.6
-2.20901,-3.377382,1.6
-2.20901,-2.856694,1.6
-2.20901,-2.336005,1.6
-2.20901,-1.815317,1.6
-2.20901,-1.294628,1.6
-2.20901,-0.77394,1.6
-2.20901,-0.253251,1.6
-2.20901,0.267437,1.6
