nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
1,-445.000 ,-250.000 ,1.600 ,1.502 
2,-415.000 ,-250.000 ,1.600 ,1.504 
3,-385.000 ,-250.000 ,1.600 ,1.492 
4,-315.000 ,-250.000 ,1.600 ,1.492 
5,-295.000 ,-250.000 ,1.600 ,1.497 
6,-275.000 ,-250.000 ,1.600 ,1.514 
7,-235.000 ,-250.000 ,1.600 ,1.516 
8,-145.000 ,-250.000 ,1.600 ,1.569 
9,-35.000 ,-250.000 ,1.600 ,1.607 
10,-15.000 ,-250.000 ,1.600 ,1.608 
11,35.000 ,-250.000 ,1.600 ,1.597 
12,55.000 ,-250.000 ,1.600 ,1.582 
13,75.000 ,-250.000 ,1.600 ,1.563 
14,85.000 ,-250.000 ,1.600 ,1.557 
15,205.000 ,-250.000 ,1.600 ,1.481 
16,-485.000 ,-250.000 ,1.600 ,1.496 
17,-475.000 ,-250.000 ,1.600 ,1.496 
18,-465.000 ,-250.000 ,1.600 ,1.495 
19,-455.000 ,-250.000 ,1.600 ,1.499 
20,-435.000 ,-250.000 ,1.600 ,1.498 
21,-425.000 ,-250.000 ,1.600 ,1.503 
22,-405.000 ,-250.000 ,1.600 ,1.497 
23,-395.000 ,-250.000 ,1.600 ,1.491 
24,-375.000 ,-250.000 ,1.600 ,1.496 
25,-365.000 ,-250.000 ,1.600 ,1.493 
26,-355.000 ,-250.000 ,1.600 ,1.496 
27,-345.000 ,-250.000 ,1.600 ,1.497 
28,-335.000 ,-250.000 ,1.600 ,1.495 
29,-325.000 ,-250.000 ,1.600 ,1.492 
30,-305.000 ,-250.000 ,1.600 ,1.493 
31,-285.000 ,-250.000 ,1.600 ,1.506 
32,-265.000 ,-250.000 ,1.600 ,1.520 
33,-255.000 ,-250.000 ,1.600 ,1.521 
34,-245.000 ,-250.000 ,1.600 ,1.517 
35,-225.000 ,-250.000 ,1.600 ,1.525 
36,-215.000 ,-250.000 ,1.600 ,1.537 
37,-205.000 ,-250.000 ,1.600 ,1.541 
38,-195.000 ,-250.000 ,1.600 ,1.545 
39,-185.000 ,-250.000 ,1.600 ,1.557 
40,-175.000 ,-250.000 ,1.600 ,1.572 
41,-165.000 ,-250.000 ,1.600 ,1.570 
42,-155.000 ,-250.000 ,1.600 ,1.565 
43,-135.000 ,-250.000 ,1.600 ,1.578 
44,-125.000 ,-250.000 ,1.600 ,1.584 
45,-115.000 ,-250.000 ,1.600 ,1.587 
46,-105.000 ,-250.000 ,1.600 ,1.592 
47,-95.000 ,-250.000 ,1.600 ,1.597 
48,-85.000 ,-250.000 ,1.600 ,1.602 
49,-75.000 ,-250.000 ,1.600 ,1.603 
50,-65.000 ,-250.000 ,1.600 ,1.604 
51,-55.000 ,-250.000 ,1.600 ,1.606 
52,-45.000 ,-250.000 ,1.600 ,1.606 
53,-25.000 ,-250.000 ,1.600 ,1.608 
54,-15.000 ,-250.000 ,1.600 ,1.608 
55,-5.000 ,-250.000 ,1.600 ,1.606 
56,5.000 ,-250.000 ,1.600 ,1.604 
57,15.000 ,-250.000 ,1.600 ,1.603 
58,25.000 ,-250.000 ,1.600 ,1.601 
59,45.000 ,-250.000 ,1.600 ,1.591 
60,65.000 ,-250.000 ,1.600 ,1.571 
61,95.000 ,-250.000 ,1.600 ,1.546 
62,105.000 ,-250.000 ,1.600 ,1.540 
63,115.000 ,-250.000 ,1.600 ,1.535 
64,125.000 ,-250.000 ,1.600 ,1.526 
65,135.000 ,-250.000 ,1.600 ,1.520 
66,145.000 ,-250.000 ,1.600 ,1.517 
67,155.000 ,-250.000 ,1.600 ,1.509 
68,165.000 ,-250.000 ,1.600 ,1.497 
69,175.000 ,-250.000 ,1.600 ,1.487 
70,185.000 ,-250.000 ,1.600 ,1.482 
71,195.000 ,-250.000 ,1.600 ,1.480 
72,215.000 ,-250.000 ,1.600 ,1.481 
73,225.000 ,-250.000 ,1.600 ,1.484 
74,235.000 ,-250.000 ,1.600 ,1.497 
75,245.000 ,-250.000 ,1.600 ,1.544 
76,189.667 ,-243.342 ,1.600 ,1.468 
77,229.174 ,-242.956 ,1.600 ,1.484 
