nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
1 ,-455.000 ,-250.000 ,1.600 ,1.485 
2 ,-445.000 ,-250.000 ,1.600 ,1.487 
3 ,-365.000 ,-250.000 ,1.600 ,1.504 
4 ,-355.000 ,-250.000 ,1.600 ,1.508 
5 ,-345.000 ,-250.000 ,1.600 ,1.506 
6 ,-315.000 ,-250.000 ,1.600 ,1.496 
7 ,-295.000 ,-250.000 ,1.600 ,1.503 
8 ,-245.000 ,-250.000 ,1.600 ,1.516 
9 ,-235.000 ,-250.000 ,1.600 ,1.517 
10 ,-215.000 ,-250.000 ,1.600 ,1.534 
11 ,-175.000 ,-250.000 ,1.600 ,1.556 
12 ,-155.000 ,-250.000 ,1.600 ,1.559 
13 ,-85.000 ,-250.000 ,1.600 ,1.595 
14 ,-65.000 ,-250.000 ,1.600 ,1.603 
15 ,-15.000 ,-250.000 ,1.600 ,1.595 
16 ,25.000 ,-250.000 ,1.600 ,1.601 
17 ,75.000 ,-250.000 ,1.600 ,1.582 
18 ,125.000 ,-250.000 ,1.600 ,1.534 
19 ,145.000 ,-250.000 ,1.600 ,1.516 
20 ,195.000 ,-250.000 ,1.600 ,1.481 
21 ,205.000 ,-250.000 ,1.600 ,1.481 
22 ,225.000 ,-250.000 ,1.600 ,1.489 
23 ,-485.000 ,-250.000 ,1.600 ,1.480 
24 ,-475.000 ,-250.000 ,1.600 ,1.480 
25 ,-465.000 ,-250.000 ,1.600 ,1.481 
26 ,-435.000 ,-250.000 ,1.600 ,1.491 
27 ,-425.000 ,-250.000 ,1.600 ,1.501 
28 ,-415.000 ,-250.000 ,1.600 ,1.510 
29 ,-405.000 ,-250.000 ,1.600 ,1.515 
30 ,-395.000 ,-250.000 ,1.600 ,1.518 
31 ,-385.000 ,-250.000 ,1.600 ,1.513 
32 ,-375.000 ,-250.000 ,1.600 ,1.503 
33 ,-335.000 ,-250.000 ,1.600 ,1.503 
34 ,-325.000 ,-250.000 ,1.600 ,1.500 
35 ,-305.000 ,-250.000 ,1.600 ,1.499 
36 ,-285.000 ,-250.000 ,1.600 ,1.504 
37 ,-275.000 ,-250.000 ,1.600 ,1.510 
38 ,-265.000 ,-250.000 ,1.600 ,1.513 
39 ,-255.000 ,-250.000 ,1.600 ,1.515 
40 ,-225.000 ,-250.000 ,1.600 ,1.524 
41 ,-205.000 ,-250.000 ,1.600 ,1.541 
42 ,-195.000 ,-250.000 ,1.600 ,1.550 
43 ,-185.000 ,-250.000 ,1.600 ,1.552 
44 ,-165.000 ,-250.000 ,1.600 ,1.560 
45 ,-145.000 ,-250.000 ,1.600 ,1.564 
46 ,-135.000 ,-250.000 ,1.600 ,1.570 
47 ,-125.000 ,-250.000 ,1.600 ,1.580 
48 ,-115.000 ,-250.000 ,1.600 ,1.592 
49 ,-105.000 ,-250.000 ,1.600 ,1.594 
50 ,-95.000 ,-250.000 ,1.600 ,1.595 
51 ,-75.000 ,-250.000 ,1.600 ,1.594 
52 ,-55.000 ,-250.000 ,1.600 ,1.606 
53 ,-45.000 ,-250.000 ,1.600 ,1.600 
54 ,-35.000 ,-250.000 ,1.600 ,1.601 
55 ,-25.000 ,-250.000 ,1.600 ,1.601 
56 ,-5.000 ,-250.000 ,1.600 ,1.596 
57 ,5.000 ,-250.000 ,1.600 ,1.605 
58 ,15.000 ,-250.000 ,1.600 ,1.606 
59 ,35.000 ,-250.000 ,1.600 ,1.600 
60 ,45.000 ,-250.000 ,1.600 ,1.597 
61 ,55.000 ,-250.000 ,1.600 ,1.593 
62 ,65.000 ,-250.000 ,1.600 ,1.589 
63 ,85.000 ,-250.000 ,1.600 ,1.576 
64 ,95.000 ,-250.000 ,1.600 ,1.567 
65 ,105.000 ,-250.000 ,1.600 ,1.557 
66 ,115.000 ,-250.000 ,1.600 ,1.545 
67 ,125.000 ,-250.000 ,1.600 ,1.534 
68 ,135.000 ,-250.000 ,1.600 ,1.526 
69 ,155.000 ,-250.000 ,1.600 ,1.510 
70 ,165.000 ,-250.000 ,1.600 ,1.503 
71 ,175.000 ,-250.000 ,1.600 ,1.494 
72 ,185.000 ,-250.000 ,1.600 ,1.486 
73 ,215.000 ,-250.000 ,1.600 ,1.482 
74 ,235.000 ,-250.000 ,1.600 ,1.503 
75 ,245.000 ,-250.000 ,1.600 ,1.544 
76 ,-389.259 ,-243.953 ,1.600 ,1.493 
77 ,-268.681 ,-243.872 ,1.600 ,1.488 
78 ,-459.805 ,-243.446 ,1.600 ,1.466 
